"product_id","product_name","category","stock_quantity","stock_status"
3,"Mechanical Keyboard","Electronics",22,"Normal"
25,"Energy Bar Pack 12","Food & Beverages",23,"Normal"
19,"Business Casual Shirt","Clothing",25,"Normal"
18,"Filing Cabinet 3-Drawer","Furniture",26,"Normal"
15,"Ergonomic Office Chair","Furniture",54,"Normal"
20,"Formal Trousers","Clothing",57,"Normal"
10,"Ballpoint Pen Set 12","Office Supplies",62,"Normal"
2,"Wireless Mouse X300","Electronics",67,"Normal"
8,"Portable SSD 1TB","Electronics",81,"Normal"
21,"Blazer Classic Fit","Clothing",121,"Overstocked"
7,"Webcam HD 1080p","Electronics",124,"Overstocked"
22,"Polo Shirt Pack 3","Clothing",129,"Overstocked"
6,"Noise Cancelling Headphones","Electronics",135,"Overstocked"
5,"USB-C Hub 7-port","Electronics",150,"Overstocked"
17,"Bookshelf 5-Tier","Furniture",226,"Overstocked"
23,"Premium Coffee Beans 1kg","Food & Beverages",268,"Overstocked"
14,"Paper Ream A4 500 sheets","Office Supplies",289,"Overstocked"
16,"Standing Desk Electric","Furniture",312,"Overstocked"
24,"Green Tea Assorted 50ct","Food & Beverages",318,"Overstocked"
1,"Laptop Pro 15","Electronics",337,"Overstocked"
11,"Desk Organizer Pro","Office Supplies",356,"Overstocked"
9,"Premium Notebook A4","Office Supplies",387,"Overstocked"
12,"Whiteboard 48x36","Office Supplies",389,"Overstocked"
4,"4K Monitor 27-inch","Electronics",389,"Overstocked"
13,"Stapler Heavy Duty","Office Supplies",466,"Overstocked"
